应用名称：小琪TV
应用包名：com.vv.test
数据地址：http://47.240.44.189/2020/tv/data88998.php
应用签名：11779
附加字符：A9YZzkKb5bJKldYrCBe9


精選節目,#genre#
佛山顺德频道,http://111.229.155.66:7722/timetv.php?type=fstv&channel=fssd
佛山高明频道,http://111.229.155.66:7722/timetv.php?type=fstv&channel=fsgm
佛山三水频道,http://111.229.155.66:7722/timetv.php?type=fstv&channel=fsss
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
超清全网①,#genre#
CCTV1,http://120.77.28.4:8648/mgu.php?id=cctv1
CCTV2,http://120.77.28.4:8648/mgu.php?id=cctv2
CCTV3,http://120.77.28.4:8648/mgu.php?id=cctv3
CCTV4,http://120.77.28.4:8648/mgu.php?id=cctv4
CCTV4欧洲,http://120.77.28.4:8648/mgu.php?id=cctv4o
CCTV4美洲,http://120.77.28.4:8648/mgu.php?id=cctv4a
CCTV5,http://120.77.28.4:8648/mgu.php?id=cctv5
CCTV5+,http://120.77.28.4:8648/mgu.php?id=cctv5p
CCTV6,http://120.77.28.4:8648/mgu.php?id=cctv6
CCTV7,http://120.77.28.4:8648/mgu.php?id=cctv7
CCTV7,http://120.77.28.4:8648/mgu.php?id=cctv7
CCTV8,http://120.77.28.4:8648/mgu.php?id=cctv8
CCTV9,http://120.77.28.4:8648/mgu.php?id=cctv9
CCTV10,http://120.77.28.4:8648/mgu.php?id=cctv10
CCTV11,http://120.77.28.4:8648/mgu.php?id=cctv11
CCTV12,http://120.77.28.4:8648/mgu.php?id=cctv12
CCTV13,http://120.77.28.4:8648/mgu.php?id=cctv13
CCTV14,http://120.77.28.4:8648/mgu.php?id=cctv14
CCTV15,http://120.77.28.4:8648/mgu.php?id=cctv15
CCTV17,http://120.77.28.4:8648/mgu.php?id=cctv17
CETV1,http://yuntv.chinayungu.cn:8005/live/cetv1sd5hxc/index.m3u8
北京卫视,http://120.77.28.4:8648/mgu.php?id=bjws
北京卫视,http://tvbox6.icu/tv/sc96655.php?id=19
东方卫视,http://120.77.28.4:8648/mgu.php?id=dfws
东方卫视,http://tvbox6.icu/tv/sc96655.php?id=24
东方卫视,http://tvbox6.com/tv/bj3w.php?id=60
重庆卫视,http://120.77.28.4:8648/mgu.php?id=cqws
重庆卫视,http://tvbox6.icu/tv/sc96655.php?id=23
吉林卫视,http://120.77.28.4:8648/mgu.php?id=jlws
